Date,Dernier,Ouv., Plus Haut,Plus Bas
25/07/2001,0.8808,0.8734,0.8814,0.8714
26/07/2001,0.8781,0.8804,0.8824,0.8745
27/07/2001,0.8777,0.8777,0.881,0.8723
30/07/2001,0.8745,0.8761,0.8776,0.872
31/07/2001,0.8762,0.8741,0.8781,0.872
01/08/2001,0.8811,0.8763,0.8833,0.8754
02/08/2001,0.884,0.8815,0.8847,0.8784
03/08/2001,0.8844,0.8834,0.8878,0.8774
06/08/2001,0.8819,0.8832,0.8832,0.8784
07/08/2001,0.8776,0.8814,0.8816,0.8746
08/08/2001,0.8804,0.8779,0.8811,0.8736
09/08/2001,0.8924,0.8809,0.8943,0.88
10/08/2001,0.8933,0.8922,0.8962,0.891
13/08/2001,0.8964,0.8933,0.9011,0.8921
14/08/2001,0.9032,0.897,0.9038,0.8933
15/08/2001,0.9142,0.9025,0.9153,0.9016
16/08/2001,0.9121,0.9138,0.9204,0.9092
17/08/2001,0.9182,0.9116,0.9185,0.9095
20/08/2001,0.9147,0.9178,0.9204,0.9108
21/08/2001,0.9178,0.9142,0.9185,0.9076
22/08/2001,0.9146,0.9182,0.9242,0.9135
23/08/2001,0.9153,0.9125,0.9169,0.9098
24/08/2001,0.915,0.9147,0.9166,0.9073
27/08/2001,0.9114,0.9133,0.9146,0.9083
28/08/2001,0.9126,0.9114,0.913,0.9026
29/08/2001,0.9093,0.9129,0.915,0.9082
30/08/2001,0.9165,0.9088,0.9185,0.9058
31/08/2001,0.9124,0.9163,0.92,0.9061
03/09/2001,0.9072,0.9102,0.9106,0.9055
04/09/2001,0.8886,0.9077,0.9079,0.8842
05/09/2001,0.8857,0.8883,0.8914,0.8844
06/09/2001,0.8961,0.8866,0.897,0.8823
07/09/2001,0.9074,0.8957,0.9077,0.8847
10/09/2001,0.8981,0.9062,0.9081,0.8973
11/09/2001,0.9143,0.8984,0.9172,0.895
12/09/2001,0.9069,0.9113,0.915,0.9006
13/09/2001,0.9112,0.9072,0.913,0.9049
14/09/2001,0.9208,0.9108,0.925,0.9079
17/09/2001,0.9244,0.9234,0.9335,0.9171
18/09/2001,0.9275,0.9249,0.9284,0.9186
19/09/2001,0.9268,0.927,0.9327,0.9225
20/09/2001,0.9279,0.9263,0.9296,0.9228
21/09/2001,0.9149,0.9276,0.9277,0.9084
24/09/2001,0.917,0.9136,0.9206,0.9103
25/09/2001,0.9233,0.9167,0.9252,0.9145
26/09/2001,0.9233,0.9232,0.9245,0.919
27/09/2001,0.9183,0.9229,0.9234,0.9156
28/09/2001,0.9117,0.9181,0.9183,0.9082
01/10/2001,0.9175,0.9103,0.9179,0.9059
02/10/2001,0.919,0.9172,0.92,0.9132
03/10/2001,0.9146,0.9183,0.9238,0.9126
04/10/2001,0.9181,0.9143,0.9187,0.9109
05/10/2001,0.9185,0.9179,0.9209,0.9155
08/10/2001,0.9213,0.9183,0.9246,0.9163
09/10/2001,0.9132,0.9208,0.9228,0.9125
10/10/2001,0.9112,0.913,0.916,0.91
11/10/2001,0.9024,0.9108,0.9124,0.8986
12/10/2001,0.9116,0.9027,0.9127,0.9013
15/10/2001,0.9094,0.9117,0.9139,0.9065
16/10/2001,0.9083,0.9085,0.9114,0.9036
17/10/2001,0.9038,0.9086,0.9095,0.9012
18/10/2001,0.9029,0.903,0.9058,0.9002
19/10/2001,0.8992,0.9033,0.9036,0.8964
22/10/2001,0.8922,0.8983,0.9004,0.8895
23/10/2001,0.8902,0.8911,0.893,0.8867
24/10/2001,0.8941,0.8905,0.8946,0.8894
25/10/2001,0.8924,0.8941,0.8982,0.8879
26/10/2001,0.8932,0.8924,0.8952,0.8902
29/10/2001,0.9047,0.8927,0.9053,0.8922
30/10/2001,0.9046,0.9048,0.9103,0.903
31/10/2001,0.8998,0.9046,0.908,0.8985
01/11/2001,0.9027,0.9007,0.9122,0.8992
02/11/2001,0.9023,0.9019,0.9076,0.9006
05/11/2001,0.8981,0.9019,0.9019,0.8942
06/11/2001,0.8951,0.8978,0.8995,0.8942
07/11/2001,0.8985,0.8946,0.9049,0.8937
08/11/2001,0.8928,0.898,0.8998,0.8904
09/11/2001,0.8942,0.8925,0.8952,0.8886
12/11/2001,0.8944,0.8948,0.9019,0.8912
13/11/2001,0.881,0.8944,0.8944,0.879
14/11/2001,0.8831,0.8802,0.8844,0.877
15/11/2001,0.8821,0.8827,0.8856,0.88
16/11/2001,0.8842,0.8819,0.8867,0.8804
19/11/2001,0.8786,0.8842,0.8854,0.8764
